token_idx,current_only_rel_mse,repaired_rel_mse,current_only_rmse,repaired_rmse
0,0.0,0.0,0.0,0.0
1,0.6197450757026672,0.0,1.6441296339035034,0.0
2,0.5807658433914185,0.0,1.7564468383789062,0.0
3,0.8741082549095154,0.0,2.2192516326904297,0.0
4,0.78421550989151,0.28293418884277344,2.146204710006714,1.2891284227371216
5,0.83475261926651,0.4898597002029419,2.2452871799468994,1.7200015783309937
6,1.1181117296218872,0.5382871627807617,2.2457661628723145,1.558220624923706
7,0.9070030450820923,0.5405175089836121,2.2290196418762207,1.7207366228103638
8,1.2921199798583984,0.7162438035011292,2.5424129962921143,1.8928889036178589
9,0.687049388885498,0.46963971853256226,2.3668251037597656,1.9568368196487427
10,0.9665694832801819,0.6122809648513794,2.39154314994812,1.9034305810928345
11,0.847455620765686,0.8028009533882141,2.1637604236602783,2.1059818267822266
12,1.0856202840805054,0.47191962599754333,2.523158311843872,1.6635642051696777
13,0.8229724168777466,0.6090049743652344,2.1021578311920166,1.8083524703979492
14,0.9993301630020142,0.42945146560668945,2.4304821491241455,1.5932905673980713
15,1.1644179821014404,0.44269922375679016,2.6842823028564453,1.655114769935608
16,0.8655878305435181,0.5948134064674377,2.184105634689331,1.8105412721633911
17,0.8042040467262268,0.5610836744308472,2.3812007904052734,1.988963007926941
18,1.1155316829681396,0.48650920391082764,2.4820125102996826,1.6391116380691528
19,0.6337603330612183,0.4459097385406494,1.9604276418685913,1.644416332244873
20,0.9822443723678589,0.330959677696228,2.3778600692749023,1.3802701234817505
21,0.7944433689117432,0.4007919728755951,2.2138657569885254,1.5724588632583618
22,0.8143047094345093,0.35202816128730774,2.4331564903259277,1.599798560142517
23,1.227266788482666,0.6596807837486267,2.406618595123291,1.764431118965149
24,0.8843702077865601,0.5610248446464539,2.4525701999664307,1.9534192085266113
25,0.7064798474311829,0.5722981095314026,1.938464879989624,1.7446938753128052
26,0.8756214380264282,0.565688967704773,2.0450563430786133,1.6437506675720215
27,0.8824580907821655,0.5040464401245117,2.208669662475586,1.6692408323287964
28,0.9887362718582153,0.5295267701148987,2.490154266357422,1.8223425149917603
29,0.9260390996932983,0.5166977643966675,2.1118111610412598,1.5774613618850708
30,0.8739492297172546,0.5281946063041687,2.531141519546509,1.9677518606185913
31,0.8931570649147034,0.5362832546234131,2.336256742477417,1.81031334400177
