token_idx,rel_mse,rmse,row_keep_fraction
0,0.0,0.0,0.03125
1,0.005648031280616654,0.09715781970121898,0.046875
2,0.00352142367948813,0.0765979268333614,0.078125
3,0.023125200328421722,0.1765776782685114,0.078125
4,0.05576899406415387,0.2778037389975903,0.078125
5,0.07830195318979981,0.2999134417383372,0.0625
6,0.12925975445127744,0.3739957862417911,0.078125
7,0.13101078589642343,0.38291682938733684,0.078125
8,0.15395877174372305,0.4278167953640262,0.0703125
9,0.19526890366061905,0.5197905628954229,0.046875
10,0.33544071594600566,0.6026430342807708,0.0703125
11,0.3810676462918479,0.6825225896167834,0.0546875
12,0.20198645232427995,0.4850590757251945,0.078125
13,0.2187963368986385,0.459123071542404,0.078125
14,0.6358818283274181,0.785216913339274,0.0390625
15,0.38068054277860114,0.6334087293696768,0.046875
16,0.6653260018560329,0.8443561466421987,0.046875
17,0.3638696080271308,0.6568569723856913,0.0625
18,0.9217020545253295,0.9069158578771945,0.0390625
19,0.620120921766571,0.7847058844316573,0.0390625
20,0.8472846583308413,1.0191050151799845,0.0390625
21,0.30831537985356366,0.677895737225596,0.046875
22,0.817012097864326,0.9307003351977248,0.0390625
23,0.2671177818064415,0.5670202691660651,0.0625
24,0.6648876598477438,0.8526930473504274,0.0390625
25,0.531958893548003,0.8033403103321591,0.0390625
26,0.9104191149460373,0.9959424860803402,0.0390625
27,0.669456622100342,0.8957817186955611,0.046875
28,1.7615433460143988,1.2577632587195389,0.03125
29,0.9663262167776225,1.028758161478483,0.0390625
30,0.636291789508701,0.8181778388439637,0.03125
31,0.7463704215840593,0.9569877527495175,0.03125
