bottleneck_width,input_amplitude,pre_gain,post_scale,calibration_scale,toolchain_ok,rel_mse_float_vs_akida,rel_mse_quant_vs_akida,signed_impulse_fidelity_float_vs_akida,signed_impulse_fidelity_quant_vs_akida,akida_nonzero_fraction,akida_abs_sum,akida_max_abs,float_abs_sum,quant_abs_sum,all_zero_akida
2,4.0,1.0,1.0,1.0,True,0.9813681840896606,0.9404842853546143,0.007768184412270784,0.02225901186466217,0.203125,0.5655357241630554,0.05655357241630554,60.0,19.0302734375,False
2,4.0,1.0,1.0,2.0,True,0.984037458896637,0.9557387828826904,0.003222056897357106,0.013656780123710632,0.125,0.45242857933044434,0.05655357241630554,60.0,18.74750518798828,False
2,4.0,2.0,1.0,1.0,True,0.9813681840896606,0.9186004996299744,0.007768184412270784,0.0318882092833519,0.203125,1.1310714483261108,0.11310714483261108,120.0,27.089160919189453,False
2,4.0,2.0,1.0,2.0,True,0.984037458896637,0.9557387828826904,0.00322205713018775,0.01365678571164608,0.125,0.9048571586608887,0.11310714483261108,120.0,37.49501037597656,False
2,8.0,1.0,1.0,1.0,True,0.9851542115211487,0.9041340351104736,0.008146405220031738,0.040483731776475906,0.234375,0.9048572182655334,0.11310714483261108,120.0,19.0302734375,False
2,8.0,1.0,1.0,2.0,True,0.9813681840896606,0.8820948004722595,0.007768184412270784,0.05166361480951309,0.203125,1.1310714483261108,0.11310714483261108,120.0,18.74750518798828,False
2,8.0,2.0,1.0,1.0,True,0.9854859113693237,0.8735600113868713,0.00807908084243536,0.05795934423804283,0.234375,1.781437635421753,0.21207588911056519,240.0,27.089160919189453,False
2,8.0,2.0,1.0,2.0,True,0.9813681840896606,0.8820948004722595,0.007768185343593359,0.05166364088654518,0.203125,2.2621428966522217,0.22621428966522217,240.0,37.49501037597656,False
4,4.0,1.0,1.0,1.0,True,0.9829859137535095,0.9402199983596802,0.004779845476150513,0.06368927657604218,0.296875,0.6847111582756042,0.05638797953724861,86.0,21.226043701171875,False
4,4.0,1.0,1.0,2.0,True,0.9837244749069214,0.9710203409194946,0.00585458567366004,0.00853127520531416,0.25,0.7733208537101746,0.04833255335688591,86.0,25.551807403564453,False
4,4.0,2.0,1.0,1.0,True,0.9829859137535095,0.9402199983596802,0.004779846873134375,0.06369028240442276,0.296875,1.3694223165512085,0.11277595907449722,172.0,42.45208740234375,False
4,4.0,2.0,1.0,2.0,True,0.9837244749069214,0.9710203409194946,0.0058545866049826145,0.008531277999281883,0.25,1.5466417074203491,0.09666510671377182,172.0,51.103614807128906,False
4,8.0,1.0,1.0,1.0,True,0.9860653281211853,0.905509889125824,0.006531265564262867,0.20570108294487,0.40625,1.168036699295044,0.11277595907449722,172.0,21.226043701171875,False
4,8.0,1.0,1.0,2.0,True,0.9829859137535095,0.8995416760444641,0.004779846873134375,0.03886469453573227,0.296875,1.3694223165512085,0.11277595907449722,172.0,25.551807403564453,False
4,8.0,2.0,1.0,1.0,True,0.9860653281211853,0.905509889125824,0.006531266961246729,0.20570474863052368,0.40625,2.336073398590088,0.22555191814899445,344.0,42.45208740234375,False
4,8.0,2.0,1.0,2.0,True,0.9829859137535095,0.8995416760444641,0.004779846873134375,0.03886471316218376,0.296875,2.738844633102417,0.22555191814899445,344.0,51.103614807128906,False
8,4.0,1.0,1.0,1.0,True,0.9829859137535095,0.9402199983596802,0.004779845476150513,0.06368927657604218,0.296875,0.6847111582756042,0.05638797953724861,86.0,21.226043701171875,False
8,4.0,1.0,1.0,2.0,True,0.9837244749069214,0.9710203409194946,0.00585458567366004,0.00853127520531416,0.25,0.7733208537101746,0.04833255335688591,86.0,25.551807403564453,False
8,4.0,2.0,1.0,1.0,True,0.9829859137535095,0.9402199983596802,0.004779846873134375,0.06369028240442276,0.296875,1.3694223165512085,0.11277595907449722,172.0,42.45208740234375,False
8,4.0,2.0,1.0,2.0,True,0.9837244749069214,0.9710203409194946,0.0058545866049826145,0.008531277999281883,0.25,1.5466417074203491,0.09666510671377182,172.0,51.103614807128906,False
8,8.0,1.0,1.0,1.0,True,0.9860653281211853,0.905509889125824,0.006531265564262867,0.20570108294487,0.40625,1.168036699295044,0.11277595907449722,172.0,21.226043701171875,False
8,8.0,1.0,1.0,2.0,True,0.9829859137535095,0.8995416760444641,0.004779846873134375,0.03886469453573227,0.296875,1.3694223165512085,0.11277595907449722,172.0,25.551807403564453,False
8,8.0,2.0,1.0,1.0,True,0.9860653281211853,0.905509889125824,0.006531266961246729,0.20570474863052368,0.40625,2.336073398590088,0.22555191814899445,344.0,42.45208740234375,False
8,8.0,2.0,1.0,2.0,True,0.9829859137535095,0.8995416760444641,0.004779846873134375,0.03886471316218376,0.296875,2.738844633102417,0.22555191814899445,344.0,51.103614807128906,False
